Mon Dec 11 20:53:50 UTC 2023
RAM 1259/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [18%@307,13%@307,9%@307,9%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36.5C thermal@31.5C POM_5V_IN 1014/1272 POM_5V_GPU 0/0 POM_5V_CPU 162/274
RAM 1259/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@204,7%@204,11%@204,8%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36C thermal@31C POM_5V_IN 1014/1267 POM_5V_GPU 0/0 POM_5V_CPU 162/272
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@204,12%@204,10%@204,8%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31C POM_5V_IN 1014/1262 POM_5V_GPU 0/0 POM_5V_CPU 121/269
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [15%@102,10%@102,9%@102,7%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36.5C thermal@31C POM_5V_IN 1054/1258 POM_5V_GPU 0/0 POM_5V_CPU 162/267
RAM 1259/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [14%@403,16%@403,11%@403,7%@403] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36.5C thermal@31C POM_5V_IN 1095/1254 POM_5V_GPU 0/0 POM_5V_CPU 162/265
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [14%@307,15%@307,10%@307,10%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36.5C thermal@31C POM_5V_IN 1054/1251 POM_5V_GPU 0/0 POM_5V_CPU 162/263
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [15%@307,13%@307,11%@307,7%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36.5C thermal@31C POM_5V_IN 1095/1248 POM_5V_GPU 0/0 POM_5V_CPU 202/262
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [18%@204,13%@204,6%@204,5%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36.5C thermal@31C POM_5V_IN 1054/1244 POM_5V_GPU 0/0 POM_5V_CPU 121/259
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@102,11%@102,10%@102,8%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36C thermal@31C POM_5V_IN 1014/1240 POM_5V_GPU 0/0 POM_5V_CPU 121/256
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [17%@102,11%@102,10%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36.5C thermal@31.25C POM_5V_IN 1014/1236 POM_5V_GPU 0/0 POM_5V_CPU 121/254
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [17%@102,13%@102,11%@102,11%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31.5C POM_5V_IN 1014/1232 POM_5V_GPU 0/0 POM_5V_CPU 121/252
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [15%@102,10%@102,10%@102,11%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31.5C POM_5V_IN 1014/1228 POM_5V_GPU 0/0 POM_5V_CPU 121/249
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [14%@102,12%@102,12%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36.5C thermal@31.25C POM_5V_IN 1095/1226 POM_5V_GPU 0/0 POM_5V_CPU 162/248
RAM 1260/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@1132,15%@1132,15%@1132,11%@1132] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36C thermal@31.25C POM_5V_IN 2150/1241 POM_5V_GPU 0/0 POM_5V_CPU 729/256
RAM 1260/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [14%@307,16%@307,7%@307,10%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31C POM_5V_IN 1095/1239 POM_5V_GPU 0/0 POM_5V_CPU 243/256
RAM 1259/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [10%@102,11%@102,8%@102,8%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36C thermal@31C POM_5V_IN 1054/1236 POM_5V_GPU 0/0 POM_5V_CPU 162/254
RAM 1259/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [15%@307,13%@307,9%@307,11%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36.5C thermal@31C POM_5V_IN 1054/1233 POM_5V_GPU 0/0 POM_5V_CPU 162/253
RAM 1259/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [13%@307,12%@307,9%@307,10%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36.5C thermal@31C POM_5V_IN 1054/1230 POM_5V_GPU 0/0 POM_5V_CPU 162/251
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [18%@307,16%@307,9%@307,14%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36C thermal@31C POM_5V_IN 1460/1234 POM_5V_GPU 0/0 POM_5V_CPU 284/252
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [17%@403,15%@403,9%@403,11%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31C POM_5V_IN 1298/1235 POM_5V_GPU 0/0 POM_5V_CPU 243/252
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [19%@204,8%@204,7%@204,10%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31C POM_5V_IN 1176/1234 POM_5V_GPU 0/0 POM_5V_CPU 162/250
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [13%@102,11%@102,6%@102,10%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36.5C thermal@31C POM_5V_IN 1014/1231 POM_5V_GPU 0/0 POM_5V_CPU 162/249
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [17%@102,11%@102,11%@204,9%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36.5C thermal@31.5C POM_5V_IN 1054/1228 POM_5V_GPU 0/0 POM_5V_CPU 162/248
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@204,11%@204,9%@204,10%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36.5C thermal@31.5C POM_5V_IN 1054/1225 POM_5V_GPU 0/0 POM_5V_CPU 162/246
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [13%@204,14%@204,7%@204,10%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31C POM_5V_IN 1054/1223 POM_5V_GPU 0/0 POM_5V_CPU 162/245
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@102,13%@102,13%@102,11%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@27.5C CPU@32C PMIC@100C GPU@29.5C AO@36.5C thermal@31C POM_5V_IN 1054/1221 POM_5V_GPU 0/0 POM_5V_CPU 162/244
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [10%@102,11%@102,8%@102,10%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36C thermal@31C POM_5V_IN 1054/1218 POM_5V_GPU 0/0 POM_5V_CPU 162/243
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [13%@102,13%@102,11%@102,5%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36.5C thermal@31C POM_5V_IN 1054/1216 POM_5V_GPU 0/0 POM_5V_CPU 162/242
RAM 1259/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [17%@102,10%@102,9%@204,9%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36C thermal@31C POM_5V_IN 1054/1214 POM_5V_GPU 0/0 POM_5V_CPU 162/241
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [11%@307,10%@307,9%@307,10%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36C thermal@31C POM_5V_IN 1136/1213 POM_5V_GPU 0/0 POM_5V_CPU 202/240
RAM 1258/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [13%@102,9%@102,11%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36.5C thermal@31C POM_5V_IN 1054/1211 POM_5V_GPU 0/0 POM_5V_CPU 162/239
RAM 1259/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@204,12%@204,7%@204,7%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31C POM_5V_IN 1054/1209 POM_5V_GPU 0/0 POM_5V_CPU 162/238
RAM 1259/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [14%@204,13%@204,6%@204,14%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32.5C PMIC@100C GPU@30C AO@36C thermal@31C POM_5V_IN 1054/1207 POM_5V_GPU 0/0 POM_5V_CPU 162/237
RAM 1260/3964MB (lfb 7x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@204,13%@204,15%@204,10%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31.5C POM_5V_IN 1054/1205 POM_5V_GPU 0/0 POM_5V_CPU 162/236
