Mon Dec 11 23:01:58 UTC 2023
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [21%@102,15%@102,12%@102,6%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36.5C thermal@31C POM_5V_IN 1501/1459 POM_5V_GPU 0/0 POM_5V_CPU 202/380
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [23%@204,15%@204,10%@204,13%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36.5C thermal@31C POM_5V_IN 1257/1456 POM_5V_GPU 0/0 POM_5V_CPU 202/377
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [15%@1132,18%@1132,10%@1132,16%@614] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36C thermal@31.5C POM_5V_IN 2272/1468 POM_5V_GPU 0/0 POM_5V_CPU 730/383
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [18%@518,14%@518,11%@518,11%@518] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36C thermal@31.5C POM_5V_IN 1339/1467 POM_5V_GPU 0/0 POM_5V_CPU 243/381
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [17%@204,11%@204,10%@204,9%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36.5C thermal@31.5C POM_5V_IN 1582/1468 POM_5V_GPU 0/0 POM_5V_CPU 202/378
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@204,13%@204,8%@204,11%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28C CPU@32C PMIC@100C GPU@30C AO@36C thermal@31C POM_5V_IN 1623/1470 POM_5V_GPU 0/0 POM_5V_CPU 202/375
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [18%@307,11%@307,10%@307,11%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36.5C thermal@31.25C POM_5V_IN 1298/1468 POM_5V_GPU 0/0 POM_5V_CPU 243/374
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [16%@204,15%@204,8%@204,9%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36C thermal@31.25C POM_5V_IN 1339/1466 POM_5V_GPU 0/0 POM_5V_CPU 243/372
RAM 1470/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [20%@307,11%@307,11%@307,9%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32.5C PMIC@100C GPU@30.5C AO@36.5C thermal@31.5C POM_5V_IN 1379/1465 POM_5V_GPU 0/0 POM_5V_CPU 243/370
RAM 1469/3964MB (lfb 8x4MB) SWAP 176/1982MB (cached 1MB) CPU [20%@204,15%@204,9%@204,9%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@28.5C CPU@32C PMIC@100C GPU@30.5C AO@36.5C thermal@31.5C POM_5V_IN 1623/1467 POM_5V_GPU 0/0 POM_5V_CPU 243/368
