Tue Dec 12 09:27:31 UTC 2023
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [17%@102,7%@102,8%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@32.5C PMIC@100C GPU@31C AO@37C thermal@32C POM_5V_IN 1014/1268 POM_5V_GPU 0/0 POM_5V_CPU 121/242
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [18%@102,9%@102,7%@102,8%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@37C thermal@32C POM_5V_IN 1054/1264 POM_5V_GPU 0/0 POM_5V_CPU 121/240
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [18%@102,9%@102,9%@102,8%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@32.5C PMIC@100C GPU@31C AO@37C thermal@32C POM_5V_IN 1014/1259 POM_5V_GPU 0/0 POM_5V_CPU 121/238
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [18%@102,8%@102,6%@102,7%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@36.5C thermal@32C POM_5V_IN 1014/1255 POM_5V_GPU 0/0 POM_5V_CPU 121/236
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [15%@102,9%@102,6%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@36.5C thermal@32.25C POM_5V_IN 1054/1251 POM_5V_GPU 0/0 POM_5V_CPU 121/234
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [18%@102,6%@102,6%@102,6%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@36.5C thermal@32C POM_5V_IN 1014/1247 POM_5V_GPU 0/0 POM_5V_CPU 121/232
RAM 1231/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [18%@204,11%@204,8%@204,10%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@36.5C thermal@32.25C POM_5V_IN 1054/1244 POM_5V_GPU 0/0 POM_5V_CPU 202/231
RAM 1233/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [17%@307,7%@307,9%@307,9%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@37C thermal@32.25C POM_5V_IN 1054/1241 POM_5V_GPU 0/0 POM_5V_CPU 202/231
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [17%@102,10%@102,9%@102,13%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@37C thermal@32.25C POM_5V_IN 1054/1238 POM_5V_GPU 0/0 POM_5V_CPU 121/229
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [19%@307,11%@307,8%@307,11%@307] EMC_FREQ 0% GR3D_FREQ 0% PLL@29C CPU@33C PMIC@100C GPU@31C AO@36.5C thermal@32.25C POM_5V_IN 1054/1235 POM_5V_GPU 0/0 POM_5V_CPU 121/227
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [18%@204,8%@204,6%@204,8%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@37C thermal@32C POM_5V_IN 1095/1233 POM_5V_GPU 0/0 POM_5V_CPU 162/226
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [15%@102,10%@102,12%@102,5%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@37C thermal@32C POM_5V_IN 1054/1230 POM_5V_GPU 0/0 POM_5V_CPU 121/224
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [15%@1326,12%@1326,14%@1326,11%@1326] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C CPU@33C PMIC@100C GPU@32C AO@37C thermal@32C POM_5V_IN 2552/1250 POM_5V_GPU 0/0 POM_5V_CPU 972/236
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [18%@403,12%@403,7%@403,7%@403] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@37C thermal@32C POM_5V_IN 1176/1249 POM_5V_GPU 0/0 POM_5V_CPU 202/235
RAM 1232/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [17%@102,9%@102,11%@102,9%@102] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@36.5C thermal@32C POM_5V_IN 1176/1248 POM_5V_GPU 0/0 POM_5V_CPU 162/234
RAM 1246/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [13%@1479,67%@1479,8%@1479,17%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@34.5C PMIC@100C GPU@31.5C AO@37.5C thermal@32.5C POM_5V_IN 2511/1266 POM_5V_GPU 0/0 POM_5V_CPU 1053/246
RAM 1248/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [9%@1479,72%@1479,5%@1479,34%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C CPU@34C PMIC@100C GPU@32C AO@37C thermal@32.75C POM_5V_IN 2471/1284 POM_5V_GPU 0/0 POM_5V_CPU 972/257
RAM 1254/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [16%@1479,14%@1479,11%@1479,99%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C CPU@33.5C PMIC@100C GPU@32C AO@37C thermal@33C POM_5V_IN 2633/1303 POM_5V_GPU 0/0 POM_5V_CPU 931/266
RAM 1258/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [23%@1479,18%@1479,19%@1479,83%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C CPU@34C PMIC@100C GPU@32C AO@37.5C thermal@33.25C POM_5V_IN 2835/1325 POM_5V_GPU 0/0 POM_5V_CPU 1174/279
RAM 1268/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [16%@1479,18%@1479,19%@1479,78%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C CPU@34.5C PMIC@100C GPU@32C AO@37.5C thermal@33.5C POM_5V_IN 2511/1341 POM_5V_GPU 0/0 POM_5V_CPU 1053/290
RAM 1268/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [17%@204,9%@204,6%@204,8%@204] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@37C thermal@32.25C POM_5V_IN 1176/1339 POM_5V_GPU 0/0 POM_5V_CPU 162/288
RAM 1260/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [32%@1479,13%@1479,11%@1479,7%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@29.5C CPU@33C PMIC@100C GPU@31.5C AO@37.5C thermal@32.25C POM_5V_IN 2511/1355 POM_5V_GPU 0/0 POM_5V_CPU 972/297
RAM 1270/3964MB (lfb 16x4MB) SWAP 187/1982MB (cached 1MB) CPU [54%@1479,17%@1479,10%@1479,51%@1479] EMC_FREQ 0% GR3D_FREQ 0% PLL@30C CPU@34.5C PMIC@100C GPU@32C AO@37.5C thermal@32.75C POM_5V_IN 2633/1372 POM_5V_GPU 0/0 POM_5V_CPU 1134/309
